hashtag_H, cluster_C_leader_user_id, relative_frequency_H_C, frequency_H_in_C, frequency_H_overall, count_H_in_C, count_tweets_in_C, count_H_entire_dataset, count_tweets_entire_dataset
aircleaners, 1475643712596168706, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
airforce, 77726331, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
airpollution, 1353306974939738113, .74641386166737663466, .00002367088008332149, .00003171280880347572, 1, 42246, 2, 63066
airstrike, 192374137, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
aivazovsky, 1373739644, 1.49282772333475368977, .00007101264024996449, .00004756921320521358, 3, 42246, 3, 63066
ajdavies, 2332033299, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
ajustice4all, 838381908656603144, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
ajusticeforall, 838381908656603144, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
akhtyrka, 870244616003403781, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
akita, 4757894056, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
akshatamurty, 2332033299, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
alabama, 1353306974939738113, .49760924111158442311, .00002367088008332149, .00004756921320521358, 1, 42246, 3, 63066
alaqsa, 41186732, 1.27956662000121737814, .00028405056099985797, .00022198966162433006, 12, 42246, 14, 63066
alaqsaunderatrack, 41186732, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
alaqsaunderattack, 41186732, 1.11962079250106526732, .00007101264024996449, .00006342561760695144, 3, 42246, 4, 63066
alaska, 2530758806, .74641386166737663466, .00002367088008332149, .00003171280880347572, 1, 42246, 2, 63066
alastaircampbell, 828578052942741505, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
alberta, 832019161454817280, 1.30020479129155959405, .00063911376224968044, .00049154853645387371, 27, 42246, 31, 63066
albertans, 1475643712596168706, 1.49282772333475368977, .00007101264024996449, .00004756921320521358, 3, 42246, 3, 63066
alberteinstein, 1477609642184396806, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
albo, 2574271742, .63978331000060866654, .00007101264024996449, .00011099483081216503, 3, 42246, 7, 63066
albo4pm, 1031000589054828544, .24880462055579218540, .00002367088008332149, .00009513842641042717, 1, 42246, 6, 63066
alboforpm, 1496792408792903684, .98158535232970098076, .00113620224399943189, .00115751752132686392, 48, 42246, 73, 63066
albopm2022, 1031000589054828544, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
aldi, 1494715792474230788, 1.49282772333475374232, .00009468352033328599, .00006342561760695144, 4, 42246, 4, 63066
alec, 936620120255934466, 1.49282772333475368977, .00007101264024996449, .00004756921320521358, 3, 42246, 3, 63066
alecguinness, 1492690652529889282, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
aleppo, 870244616003403781, 1.11962079250106526732, .00007101264024996449, .00006342561760695144, 3, 42246, 4, 63066
alexandermalofeev, 45379403, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
alexhawke, 1031000589054828544, .74641386166737663466, .00002367088008332149, .00003171280880347572, 1, 42246, 2, 63066
alexkonanykhin, 192374137, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
alexpadilla, 426361581, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
aliarnotaleader, 631283641, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
alinakabaeva, 4213849704, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
allanimalsmatter, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
allcolorsallculturesallcreeds, 29447428, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
allistonon, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
allofusaredead, 1264114113925402624, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
alltalknoaction, 77726331, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
allthehappysmiles, 1475643712596168706, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
almaty, 3040987923, .74641386166737663466, .00002367088008332149, .00003171280880347572, 1, 42246, 2, 63066
alpacas, 614600545, .74641386166737663466, .00002367088008332149, .00003171280880347572, 1, 42246, 2, 63066
alpha, 45379403, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
alqaeda, 1387010761994682371, .74641386166737663466, .00002367088008332149, .00003171280880347572, 1, 42246, 2, 63066
alternativefacts, 578601744, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
aluforthewin, 967871677399994368, 1.49282772333475368977, .00007101264024996449, .00004756921320521358, 3, 42246, 3, 63066
aluminum, 3231054096, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
alvinbragg, 1028022611324747776, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
alwayswasalwayswillbe, 935349971129311233, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
alzheimers, 302984766, 1.49282772333475361664, .00023670880083321497, .00015856404401737861, 10, 42246, 10, 63066
amandabynes, 977710998, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
amandalacount, 1471037967926018051, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
amaramarluke, 838381908656603144, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
amazon, 3231054096, .74641386166737663466, .00002367088008332149, .00003171280880347572, 1, 42246, 2, 63066
amazonlaborunion, 45379403, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
amazonmusic, 1471037967926018051, 1.24402310277896124234, .00011835440041660748, .00009513842641042717, 5, 42246, 6, 63066
amazonmusiclive, 2530758806, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
amazonunion, 45379403, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
amberheard, 614600545, .74641386166737677678, .00011835440041660748, .00015856404401737861, 5, 42246, 10, 63066
amberheardisaliar, 4213849704, .74641386166737663466, .00002367088008332149, .00003171280880347572, 1, 42246, 2, 63066
amberheardisanabuser, 4213849704, .99521848222316905644, .00004734176016664299, .00004756921320521358, 2, 42246, 3, 63066
ambrrrrrradorbridge, 832019161454817280, .74641386166737663466, .00002367088008332149, .00003171280880347572, 1, 42246, 2, 63066
ambrrrrrradorbridgeblockade, 832019161454817280, .82934873518597419062, .00011835440041660748, .00014270763961564075, 5, 42246, 9, 63066
amendment214, 29188599, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
amendment97za, 29188599, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
america, 997262774, .99521848222316905677, .00014202528049992898, .00014270763961564075, 6, 42246, 9, 63066
americacompetes, 1921951394, 1.19426217866780299386, .00009468352033328599, .00007928202200868930, 4, 42246, 5, 63066
americafirst, 124385387, .49760924111158442311, .00002367088008332149, .00004756921320521358, 1, 42246, 3, 63066
